Sem-nCG@3_distil,Sem-nCG@3_sbert-mini,Sem-nCG@3_sbert-l,Sem-nCG@3_roberta,Sem-nCG@3_simcse,Sem-nCG@3_use,Sem-nCG@3_olmo-2-1b,Sem-nCG@3_openelm,Sem-nCG@3_llama3.2,Sem-nCG@3_gemma-3-1b-it,Sem-nCG@3_qwen3-0.6b
0.9696969696969697,0.9333333333333333,0.9090909090909091,0.7575757575757576,1.0,0.9696969696969697,0.7272727272727273,0.696969696969697,0.7575757575757576,0.6666666666666666,0.9696969696969697
0.6666666666666666,0.6,0.696969696969697,0.7575757575757576,0.696969696969697,0.8181818181818181,0.5757575757575758,0.5454545454545455,0.5454545454545454,0.606060606060606,0.5757575757575758
0.5757575757575758,0.4666666666666667,0.5454545454545455,0.606060606060606,0.6363636363636364,0.6363636363636364,0.42424242424242425,0.3030303030303031,0.4545454545454546,0.7878787878787878,0.48484848484848486
0.8717948717948718,0.6888888888888889,0.8461538461538461,0.6666666666666666,0.9487179487179486,0.8205128205128206,0.5641025641025642,0.6153846153846154,0.25641025641025644,0.41025641025641035,0.6666666666666667
0.6666666666666666,0.6888888888888889,0.761904761904762,0.5238095238095238,0.6825396825396824,0.7301587301587301,0.6666666666666666,0.6984126984126984,0.6984126984126984,0.30158730158730157,0.8571428571428572
0.6666666666666666,0.7333333333333334,0.761904761904762,0.5238095238095238,0.6825396825396824,0.7301587301587301,0.6666666666666666,0.6984126984126984,0.6984126984126984,0.3015873015873016,0.8571428571428571
0.8095238095238095,0.6888888888888889,0.8571428571428571,0.7301587301587301,0.7301587301587301,0.8412698412698413,0.7142857142857143,0.7142857142857143,0.7777777777777777,0.507936507936508,0.8095238095238095
0.8095238095238095,0.6507936507936508,0.8571428571428571,0.7301587301587301,0.7301587301587301,0.8412698412698413,0.7142857142857143,0.7142857142857143,0.7777777777777777,0.507936507936508,0.8095238095238095
0.8461538461538461,0.6507936507936508,0.8717948717948718,0.9487179487179486,0.8461538461538461,1.0,0.9230769230769232,0.8717948717948719,0.7692307692307693,0.8205128205128207,0.9743589743589745
0.8717948717948718,0.761904761904762,0.8205128205128206,0.923076923076923,0.7435897435897436,0.7692307692307692,0.7179487179487181,0.7435897435897437,0.7179487179487181,0.8461538461538463,0.7179487179487181
